Dataset,Iteration,Type,Gap,DiagDiff,OverlapFactor,MinAnchors,Score
Dataset1,0,Initial,396,227,0.2,3,29059
Dataset1,1,Explore_max_gap_Inc(M1),400,227,0.2,3,29059
Dataset1,1,Explore_max_gap_Dec(M1),386,227,0.2,3,29059
Dataset1,1,Explore_max_diag_diff_Inc(M1),396,237,0.2,3,29059
Dataset1,1,Explore_max_diag_diff_Dec(M1),396,217,0.2,3,29059
Dataset1,1,Explore_overlap_factor_Inc(M1),396,227,0.25,3,29068
Dataset1,1,Explore_overlap_factor_Dec(M1),396,227,0.2,3,29059
Dataset1,1,Explore_min_anchors_Inc(M1),396,227,0.2,4,29059
Dataset1,1,Explore_min_anchors_Dec(M1),396,227,0.2,2,29059
Dataset1,1,TryCombined,396,227,0.25,3,29068
Dataset1,1,Update,396,227,0.25,3,29068
Dataset1,2,Explore_max_gap_Inc(M0.9),400,227,0.25,3,29068
Dataset1,2,Explore_max_gap_Dec(M0.9),387,227,0.25,3,29068
Dataset1,2,Explore_max_diag_diff_Inc(M0.9),396,236,0.25,3,29068
Dataset1,2,Explore_max_diag_diff_Dec(M0.9),396,218,0.25,3,29068
Dataset1,2,Explore_overlap_factor_Inc(M1.2),396,227,0.3,3,29068
Dataset1,2,Explore_overlap_factor_Dec(M1.2),396,227,0.2,3,29059
Dataset1,2,Explore_min_anchors_Inc(M0.9),396,227,0.25,4,29068
Dataset1,2,Explore_min_anchors_Dec(M0.9),396,227,0.25,2,29068
Dataset1,3,Explore_max_gap_Inc(M0.63),400,227,0.25,3,29068
Dataset1,3,Explore_max_gap_Dec(M0.63),390,227,0.25,3,29068
Dataset1,3,Explore_max_diag_diff_Inc(M0.63),396,233,0.25,3,29068
Dataset1,3,Explore_max_diag_diff_Dec(M0.63),396,221,0.25,3,29068
Dataset1,3,Explore_overlap_factor_Inc(M0.84),396,227,0.3,3,29068
Dataset1,3,Explore_overlap_factor_Dec(M0.84),396,227,0.2,3,29059
Dataset1,3,Explore_min_anchors_Inc(M0.63),396,227,0.25,4,29068
Dataset1,3,Explore_min_anchors_Dec(M0.63),396,227,0.25,2,29068
Dataset1,4,Explore_max_gap_Inc(M0.441),400,227,0.25,3,29068
Dataset1,4,Explore_max_gap_Dec(M0.441),392,227,0.25,3,29068
Dataset1,4,Explore_max_diag_diff_Inc(M0.441),396,231,0.25,3,29068
Dataset1,4,Explore_max_diag_diff_Dec(M0.441),396,223,0.25,3,29068
Dataset1,4,Explore_overlap_factor_Inc(M0.588),396,227,0.3,3,29068
Dataset1,4,Explore_overlap_factor_Dec(M0.588),396,227,0.2,3,29059
Dataset1,4,Explore_min_anchors_Inc(M0.441),396,227,0.25,4,29068
Dataset1,4,Explore_min_anchors_Dec(M0.441),396,227,0.25,2,29068
Dataset1,5,Explore_max_gap_Inc(M0.3087),399,227,0.25,3,29068
Dataset1,5,Explore_max_gap_Dec(M0.3087),393,227,0.25,3,29068
Dataset1,5,Explore_max_diag_diff_Inc(M0.3087),396,230,0.25,3,29068
Dataset1,5,Explore_max_diag_diff_Dec(M0.3087),396,224,0.25,3,29068
Dataset1,5,Explore_overlap_factor_Inc(M0.4116),396,227,0.25,3,29068
Dataset1,5,Explore_overlap_factor_Dec(M0.4116),396,227,0.25,3,29068
Dataset1,5,Explore_min_anchors_Inc(M0.3087),396,227,0.25,4,29068
Dataset1,5,Explore_min_anchors_Dec(M0.3087),396,227,0.25,2,29068
Dataset1,6,Explore_max_gap_Inc(M0.25),398,227,0.25,3,29068
Dataset1,6,Explore_max_gap_Dec(M0.25),394,227,0.25,3,29068
Dataset1,6,Explore_max_diag_diff_Inc(M0.25),396,229,0.25,3,29068
Dataset1,6,Explore_max_diag_diff_Dec(M0.25),396,225,0.25,3,29068
Dataset1,6,Explore_overlap_factor_Inc(M0.28812),396,227,0.25,3,29068
Dataset1,6,Explore_overlap_factor_Dec(M0.28812),396,227,0.25,3,29068
Dataset1,6,Explore_min_anchors_Inc(M0.25),396,227,0.25,4,29068
Dataset1,6,Explore_min_anchors_Dec(M0.25),396,227,0.25,2,29068
Dataset1,7,Explore_max_gap_Inc(M0.25),398,227,0.25,3,29068
Dataset1,7,Explore_max_gap_Dec(M0.25),394,227,0.25,3,29068
Dataset1,7,Explore_max_diag_diff_Inc(M0.25),396,229,0.25,3,29068
Dataset1,7,Explore_max_diag_diff_Dec(M0.25),396,225,0.25,3,29068
Dataset1,7,Explore_overlap_factor_Inc(M0.25),396,227,0.25,3,29068
Dataset1,7,Explore_overlap_factor_Dec(M0.25),396,227,0.25,3,29068
Dataset1,7,Explore_min_anchors_Inc(M0.25),396,227,0.25,4,29068
Dataset1,7,Explore_min_anchors_Dec(M0.25),396,227,0.25,2,29068
Dataset1,8,Explore_max_gap_Inc(M0.25),398,227,0.25,3,29068
Dataset1,8,Explore_max_gap_Dec(M0.25),394,227,0.25,3,29068
Dataset1,8,Explore_max_diag_diff_Inc(M0.25),396,229,0.25,3,29068
Dataset1,8,Explore_max_diag_diff_Dec(M0.25),396,225,0.25,3,29068
Dataset1,8,Explore_overlap_factor_Inc(M0.25),396,227,0.25,3,29068
Dataset1,8,Explore_overlap_factor_Dec(M0.25),396,227,0.25,3,29068
Dataset1,8,Explore_min_anchors_Inc(M0.25),396,227,0.25,4,29068
Dataset1,8,Explore_min_anchors_Dec(M0.25),396,227,0.25,2,29068
Dataset1,9,Explore_max_gap_Inc(M0.25),398,227,0.25,3,29068
Dataset1,9,Explore_max_gap_Dec(M0.25),394,227,0.25,3,29068
Dataset1,9,Explore_max_diag_diff_Inc(M0.25),396,229,0.25,3,29068
Dataset1,9,Explore_max_diag_diff_Dec(M0.25),396,225,0.25,3,29068
Dataset1,9,Explore_overlap_factor_Inc(M0.25),396,227,0.25,3,29068
Dataset1,9,Explore_overlap_factor_Dec(M0.25),396,227,0.25,3,29068
Dataset1,9,Explore_min_anchors_Inc(M0.25),396,227,0.25,4,29068
Dataset1,9,Explore_min_anchors_Dec(M0.25),396,227,0.25,2,29068
Dataset1,10,Explore_max_gap_Inc(M0.25),398,227,0.25,3,29068
Dataset1,10,Explore_max_gap_Dec(M0.25),394,227,0.25,3,29068
Dataset1,10,Explore_max_diag_diff_Inc(M0.25),396,229,0.25,3,29068
Dataset1,10,Explore_max_diag_diff_Dec(M0.25),396,225,0.25,3,29068
Dataset1,10,Explore_overlap_factor_Inc(M0.25),396,227,0.25,3,29068
Dataset1,10,Explore_overlap_factor_Dec(M0.25),396,227,0.25,3,29068
Dataset1,10,Explore_min_anchors_Inc(M0.25),396,227,0.25,4,29068
Dataset1,10,Explore_min_anchors_Dec(M0.25),396,227,0.25,2,29068
Dataset1,11,Explore_max_gap_Inc(M0.25),398,227,0.25,3,29068
Dataset1,11,Explore_max_gap_Dec(M0.25),394,227,0.25,3,29068
Dataset1,11,Explore_max_diag_diff_Inc(M0.25),396,229,0.25,3,29068
Dataset1,11,Explore_max_diag_diff_Dec(M0.25),396,225,0.25,3,29068
Dataset1,11,Explore_overlap_factor_Inc(M0.25),396,227,0.25,3,29068
Dataset1,11,Explore_overlap_factor_Dec(M0.25),396,227,0.25,3,29068
Dataset1,11,Explore_min_anchors_Inc(M0.25),396,227,0.25,4,29068
Dataset1,11,Explore_min_anchors_Dec(M0.25),396,227,0.25,2,29068
Dataset1,12,Explore_max_gap_Inc(M0.25),398,227,0.25,3,29068
Dataset1,12,Explore_max_gap_Dec(M0.25),394,227,0.25,3,29068
Dataset1,12,Explore_max_diag_diff_Inc(M0.25),396,229,0.25,3,29068
Dataset1,12,Explore_max_diag_diff_Dec(M0.25),396,225,0.25,3,29068
Dataset1,12,Explore_overlap_factor_Inc(M0.25),396,227,0.25,3,29068
Dataset1,12,Explore_overlap_factor_Dec(M0.25),396,227,0.25,3,29068
Dataset1,12,Explore_min_anchors_Inc(M0.25),396,227,0.25,4,29068
Dataset1,12,Explore_min_anchors_Dec(M0.25),396,227,0.25,2,29068
Dataset1,13,Explore_max_gap_Inc(M0.25),398,227,0.25,3,29068
Dataset1,13,Explore_max_gap_Dec(M0.25),394,227,0.25,3,29068
Dataset1,13,Explore_max_diag_diff_Inc(M0.25),396,229,0.25,3,29068
Dataset1,13,Explore_max_diag_diff_Dec(M0.25),396,225,0.25,3,29068
Dataset1,13,Explore_overlap_factor_Inc(M0.25),396,227,0.25,3,29068
Dataset1,13,Explore_overlap_factor_Dec(M0.25),396,227,0.25,3,29068
Dataset1,13,Explore_min_anchors_Inc(M0.25),396,227,0.25,4,29068
Dataset1,13,Explore_min_anchors_Dec(M0.25),396,227,0.25,2,29068
Dataset1,14,Explore_max_gap_Inc(M0.25),398,227,0.25,3,29068
Dataset1,14,Explore_max_gap_Dec(M0.25),394,227,0.25,3,29068
Dataset1,14,Explore_max_diag_diff_Inc(M0.25),396,229,0.25,3,29068
Dataset1,14,Explore_max_diag_diff_Dec(M0.25),396,225,0.25,3,29068
Dataset1,14,Explore_overlap_factor_Inc(M0.25),396,227,0.25,3,29068
Dataset1,14,Explore_overlap_factor_Dec(M0.25),396,227,0.25,3,29068
Dataset1,14,Explore_min_anchors_Inc(M0.25),396,227,0.25,4,29068
Dataset1,14,Explore_min_anchors_Dec(M0.25),396,227,0.25,2,29068
Dataset1,15,Explore_max_gap_Inc(M0.25),398,227,0.25,3,29068
Dataset1,15,Explore_max_gap_Dec(M0.25),394,227,0.25,3,29068
Dataset1,15,Explore_max_diag_diff_Inc(M0.25),396,229,0.25,3,29068
Dataset1,15,Explore_max_diag_diff_Dec(M0.25),396,225,0.25,3,29068
Dataset1,15,Explore_overlap_factor_Inc(M0.25),396,227,0.25,3,29068
Dataset1,15,Explore_overlap_factor_Dec(M0.25),396,227,0.25,3,29068
Dataset1,15,Explore_min_anchors_Inc(M0.25),396,227,0.25,4,29068
Dataset1,15,Explore_min_anchors_Dec(M0.25),396,227,0.25,2,29068
Dataset1,16,Explore_max_gap_Inc(M0.25),398,227,0.25,3,29068
Dataset1,16,Explore_max_gap_Dec(M0.25),394,227,0.25,3,29068
Dataset1,16,Explore_max_diag_diff_Inc(M0.25),396,229,0.25,3,29068
Dataset1,16,Explore_max_diag_diff_Dec(M0.25),396,225,0.25,3,29068
Dataset1,16,Explore_overlap_factor_Inc(M0.25),396,227,0.25,3,29068
Dataset1,16,Explore_overlap_factor_Dec(M0.25),396,227,0.25,3,29068
Dataset1,16,Explore_min_anchors_Inc(M0.25),396,227,0.25,4,29068
Dataset1,16,Explore_min_anchors_Dec(M0.25),396,227,0.25,2,29068
Dataset1,17,Explore_max_gap_Inc(M0.25),398,227,0.25,3,29068
Dataset1,17,Explore_max_gap_Dec(M0.25),394,227,0.25,3,29068
Dataset1,17,Explore_max_diag_diff_Inc(M0.25),396,229,0.25,3,29068
Dataset1,17,Explore_max_diag_diff_Dec(M0.25),396,225,0.25,3,29068
Dataset1,17,Explore_overlap_factor_Inc(M0.25),396,227,0.25,3,29068
Dataset1,17,Explore_overlap_factor_Dec(M0.25),396,227,0.25,3,29068
Dataset1,17,Explore_min_anchors_Inc(M0.25),396,227,0.25,4,29068
Dataset1,17,Explore_min_anchors_Dec(M0.25),396,227,0.25,2,29068
Dataset1,18,Explore_max_gap_Inc(M0.25),398,227,0.25,3,29068
Dataset1,18,Explore_max_gap_Dec(M0.25),394,227,0.25,3,29068
Dataset1,18,Explore_max_diag_diff_Inc(M0.25),396,229,0.25,3,29068
Dataset1,18,Explore_max_diag_diff_Dec(M0.25),396,225,0.25,3,29068
Dataset1,18,Explore_overlap_factor_Inc(M0.25),396,227,0.25,3,29068
Dataset1,18,Explore_overlap_factor_Dec(M0.25),396,227,0.25,3,29068
Dataset1,18,Explore_min_anchors_Inc(M0.25),396,227,0.25,4,29068
Dataset1,18,Explore_min_anchors_Dec(M0.25),396,227,0.25,2,29068
Dataset1,19,Explore_max_gap_Inc(M0.25),398,227,0.25,3,29068
Dataset1,19,Explore_max_gap_Dec(M0.25),394,227,0.25,3,29068
